PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"44-99","F_767893_2957498","325 MAIN ST",346,17,942,0.333,"5/17 nearby properties (33.3%); Code: College or University","College or University"
"44-100","F_768390_2957411","255 MAIN ST",346,18,942,0.273,"4/18 nearby properties (27.3%); Code: College or University","College or University"
"44-101","F_768065_2957464","247 MAIN ST",1322,19,942,0.250,"4/19 nearby properties (25.0%); Code: College or University","College or University"
"44-102","F_768288_2957378","16 BROADWAY",9900,28,942,0.312,"8/28 nearby properties (31.2%); Code: College or University","College or University"
"46-3","F_769652_2956159","30 MEMORIAL DR",1322,4,942,1.000,"4/4 nearby properties (100.0%); Code: College or University","College or University"
"46-12","F_769302_2957070","15 MEMORIAL DR",346,10,340,0.333,"3/10 nearby properties (33.3%); Code: General Office Buildings","General Office Buildings"
"46-16","F_768332_2955831","89 MEMORIAL DR",1322,6,942,0.750,"4/6 nearby properties (75.0%); Code: College or University","College or University"
"47-83","F_768426_2956689","17 WADSWORTH ST",1067,13,942,0.600,"7/13 nearby properties (60.0%); Code: College or University","College or University"
"48-157","F_767874_2957253","314 MAIN ST",346,18,942,0.273,"4/18 nearby properties (27.3%); Code: College or University","College or University"
"54-16","F_763915_2955719","250 ALBANY ST",9420,16,942,0.571,"9/16 nearby properties (57.1%); Code: College or University","College or University"
"54-19","F_763732_2955610","270 ALBANY ST",406,16,942,0.400,"6/16 nearby properties (40.0%); Code: College or University","College or University"
"55-27","F_764936_2956135","189 VASSAR ST",9420,20,942,0.667,"13/20 nearby properties (66.7%); Code: College or University","College or University"
"58-162","F_765985_2955954","46 MASSACHUSETTS AVE",9420,10,942,0.700,"7/10 nearby properties (70.0%); Code: College or University","College or University"
"58-166","F_764035_2954399","CHARLES RIVER PKWY",9100,42,942,0.676,"28/42 nearby properties (67.6%); Code: College or University","College or University"
"63-132","F_762731_2954657","325 VASSAR ST",406,126,102,0.811,"102/126 nearby properties (81.1%); Code: Condominium","Condominium"
"63-135","F_762241_2954243","620 MEMORIAL DR",406,115,102,0.900,"103/115 nearby properties (90.0%); Code: Condominium","Condominium"
